canonical_incident_id,source_native_id,hazard_type,event_date,event_year,location_name,source_provider,deduplication_status,spatial_offset_to_duplicate_m,merged_duplicate_source_info,record_classification,acquisition_method,extraction_method,source_access_status,evidence_level,latitude_wgs84,longitude_wgs84,easting_utm44n,northing_utm44n,location_method,coordinate_uncertainty_m,uncertainty_band,uncertainty_basis,fatalities_documented,injuries_documented,households_affected,source_document_title,source_document_url_or_identifier,source_page_figure_table
DIS-RDP-1998-001,NULL,DEBRIS_FLOW,1998-08-11,1998,Madhyamaheshwar Valley (Mansuna),District Administration Public Disaster Compilation + Springer / Natural Hazards & GSI,MERGED_CROSS_SOURCE_DUPLICATE,62.5,District Administration Public Disaster Compilation,LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,MAP_GEOREFERENCED_DIGITIZATION,VERIFIED_PUBLISHED_SECONDARY_SOURCE,PEER_REVIEWED_JOURNAL_ARTICLE,30.5385,79.1412,321683.62,3379928.01,PUBLISHED_MAP_GEOREFERENCING,100.0,MODERATE_PRECISION (51–100 m),"Digitized from 1:50,000 geomorphological valley map in Sati et al. (2011) Fig. 2",55,30,120,"Geomorphic and socio-economic impact of 1998 Madhyamaheshwar tragedy, Garhwal Himalaya",https://doi.org/10.1007/s11069-010-9694-x,Table 1 & Figure 2 (Geomorphological map)
DIS-RDP-1998-002,NULL,LANDSLIDE,1998-08-19,1998,Banswara - Kund Slope Failure,Geological Society of India,UNIQUE_RECORD,0.0,NONE (Unique Record),LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,TEXT_TABULAR_EXTRACTION,VERIFIED_PUBLISHED_SECONDARY_SOURCE,PEER_REVIEWED_JOURNAL_ARTICLE,30.508,79.123,319881.1,3376576.15,HIGHWAY_LANDMARK_CORRIDOR_MATCH,150.0,VILLAGE_SCALE_PRECISION (101–200 m),Geocoded to Mandakini river toe-scarp at Banswara-Kund highway junction from text description,54,25,85,"Landslides in the Alaknanda and Mandakini valleys, Garhwal Himalaya",ISSN: 0016-7622 (J. Geol. Soc. India 59(4):335-344),"Page 339, Section 'Mandakini Valley Landslides' & Table 3"
DIS-RDP-2001-001,NULL,LANDSLIDE,2001-07-16,2001,Phata - Byung Gad,Geological Society of India,UNIQUE_RECORD,0.0,NONE (Unique Record),LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,MAP_GEOREFERENCED_DIGITIZATION,VERIFIED_PUBLISHED_SECONDARY_SOURCE,PEER_REVIEWED_JOURNAL_ARTICLE,30.572,79.034,311462.72,3383815.97,PUBLISHED_MAP_GEOREFERENCING,75.0,MODERATE_PRECISION (51–100 m),"Digitized from 1:25,000 Byung Gad landslide distribution map in Sah et al. (2003) Fig. 3",27,15,40,"Cloudburst induced landslides during July 16, 2001 in Phata-Byung area, Rudraprayag district, Garhwal Himalaya",ISSN: 0016-7622 (J. Geol. Soc. India 61(4):445-455),Figure 3 (Distribution map of landslides in Byung Gad) & Table 1
DIS-RDP-2005-001,NULL,LANDSLIDE,2005-07-28,2005,Silli (Agastyamuni - Chandrapuri),Uttarakhand DMMC / Public Disaster Compilation,UNIQUE_RECORD,0.0,NONE (Unique Record),LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,TEXT_TABULAR_EXTRACTION,UNVERIFIED_DOCUMENT_REFERENCE,OFFICIAL_DISASTER_LOSS_REGISTRY,30.412,79.018,309616.6,3366107.06,VILLAGE_SETTLEMENT_CENTROID_MATCH,200.0,VILLAGE_SCALE_PRECISION (101–200 m),Geocoded to Silli village settlement centroid from Census 2011 directory,3,6,18,Uttarakhand DMMC Monsoon Disaster Archive & Disaster Summaries,https://www.desinventar.net/ (Historical Database Reference),Event Listing: 2005 Silli Landslide
DIS-RDP-2010-001,NULL,CLOUDBURST,2010-09-18,2010,Bedubagad - Tilwada,District Administration Public Disaster Compilation,UNIQUE_RECORD,0.0,NONE (Unique Record),LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,TEXT_TABULAR_EXTRACTION,UNVERIFIED_DOCUMENT_REFERENCE,OFFICIAL_DISASTER_LOSS_REGISTRY,30.348,78.962,304108.68,3359108.31,VILLAGE_SETTLEMENT_CENTROID_MATCH,250.0,CORRIDOR_SCALE_PRECISION (> 200 m),Geocoded to Bedubagad local stream confluence from revenue village directory,5,12,32,District Rudraprayag Flood Incident Archive & News Reports,https://www.desinventar.net/ (Historical Database Reference),Event Listing: 2010 Bedubagad Cloudburst
DIS-RDP-2012-001,NULL,CLOUDBURST,2012-09-13,2012,Chunni - Mangoli (Okhimath),Indian Academy of Sciences / Current Science + Indian Academy of Sciences / Current Science & DEOC,MERGED_CROSS_SOURCE_DUPLICATE,73.3,Indian Academy of Sciences / Current Science & DEOC,LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,MAP_GEOREFERENCED_DIGITIZATION,VERIFIED_PUBLISHED_SECONDARY_SOURCE,PEER_REVIEWED_JOURNAL_ARTICLE,30.519,79.098,317502.21,3377835.65,PUBLISHED_MAP_GEOREFERENCING,100.0,MODERATE_PRECISION (51–100 m),Digitized from slope deformation map in Rawat et al. (2015) Fig. 4,69,40,180,"Geomorphological and hydrological impact of 13 September 2012 cloudburst in Okhimath region, Rudraprayag district, Uttarakhand",ISSN: 0011-3891 (Current Science 108(4):643-651),Figure 4 (Landslide distribution map around Chunni-Mangoli) & Table 2
DIS-RDP-2013-001,NULL,FLASH_FLOOD,2013-06-16,2013,Chorabari Lake / Upper Kedarnath,Elsevier / Geomorphology & NIDM + NIDM / Ministry of Home Affairs & USDMA,MERGED_CROSS_SOURCE_DUPLICATE,24.2,NIDM / Ministry of Home Affairs & USDMA,LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,MAP_GEOREFERENCED_DIGITIZATION,VERIFIED_PUBLISHED_SECONDARY_SOURCE,OFFICIAL_GOVERNMENT_PDNA_REPORT,30.7352,79.0669,314929.69,3401852.01,SATELLITE_DEBRIS_FAN_DELINEATION,50.0,HIGH_PRECISION (≤ 50 m),Delineated from high-resolution Cartosat/LISS-IV post-disaster mapping in Martha et al. (2015) Fig. 4,5700,2500,2400,Uttarakhand Disaster 2013: Post Disaster Needs Assessment Report & Landslides mapped after the 2013 multi-hazard disaster in Uttarakhand,https://nidm.gov.in/pdf/pubs/ukd-pnda.pdf & https://doi.org/10.1016/j.geomorph.2015.09.008,NIDM Table 3.2 & Martha et al. (2015) Figure 4
DIS-RDP-2013-002,NULL,DEBRIS_FLOW,2013-06-17,2013,Rambara Gorge,Elsevier / Geomorphology,UNIQUE_RECORD,0.0,NONE (Unique Record),LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,MAP_GEOREFERENCED_DIGITIZATION,VERIFIED_PUBLISHED_SECONDARY_SOURCE,PEER_REVIEWED_JOURNAL_ARTICLE,30.695,79.052,313425.52,3397420.5,SATELLITE_DEBRIS_FAN_DELINEATION,50.0,HIGH_PRECISION (≤ 50 m),Delineated from high-gradient gorge satellite landslide inventory in Martha et al. (2015) Fig. 5,850,300,95,"Landslides mapped after the 2013 multi-hazard disaster in Uttarakhand, India",https://doi.org/10.1016/j.geomorph.2015.09.008,Figure 5 (High-gradient gorge landslide polygon inventory) & Table 1
DIS-RDP-2013-003,NULL,LANDSLIDE,2013-06-17,2013,Sonprayag Confluence,Elsevier / Geomorphology,UNIQUE_RECORD,0.0,NONE (Unique Record),LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,MAP_GEOREFERENCED_DIGITIZATION,VERIFIED_PUBLISHED_SECONDARY_SOURCE,PEER_REVIEWED_JOURNAL_ARTICLE,30.632,78.998,308128.03,3390527.88,SATELLITE_DEBRIS_FAN_DELINEATION,75.0,MODERATE_PRECISION (51–100 m),Georeferenced from confluence slope failure mapping in Martha et al. (2015) Table 3,45,80,60,"Landslides mapped after the 2013 multi-hazard disaster in Uttarakhand, India",https://doi.org/10.1016/j.geomorph.2015.09.008,Section 4.2 'Mandakini River Confluence Failures' & Table 3
DIS-RDP-2013-004,NULL,RIVERINE_FLOOD,2013-06-17,2013,Vijayanagar (Agastyamuni),Indian Academy of Sciences / Current Science,UNIQUE_RECORD,0.0,NONE (Unique Record),LITERATURE_CURATED_HISTORICAL_RECORD,MANUAL_RESEARCH_AND_CURATED_EXTRACTION,MAP_GEOREFERENCED_DIGITIZATION,VERIFIED_PUBLISHED_SECONDARY_SOURCE,PEER_REVIEWED_JOURNAL_ARTICLE,30.392,78.988,306694.92,3363940.97,PUBLISHED_MAP_GEOREFERENCING,75.0,MODERATE_PRECISION (51–100 m),Digitized from Agastyamuni low-terrace flood inundation profile in Sundriyal et al. (2015) Fig. 3,22,50,210,Mandakini river flood of June 2013: Inundation and sediment dynamics,ISSN: 0011-3891 (Current Science 108(4):652-660),Figure 3 (Agastyamuni low-terrace flood inundation profile) & Table 1
