facility_id,osm_id,facility_name,facility_broad_type,facility_category,explicitly_evidenced_emergency_capability,potential_emergency_receiving_facility,classification_trigger,amenity_tag,healthcare_tag,building_tag,office_tag,source_provider,acquisition_date,latitude_wgs84,longitude_wgs84,easting_utm44n,northing_utm44n
FAC-RDP-001,way/1273532065,Office of Pradhan,CIVIC_ADMINISTRATIVE,CIVIC_COMMUNITY_CENTRE,False,False,TAG_OR_NAME_COMMUNITY_CENTRE,townhall,,yes,,OpenStreetMap Contributors,2026-08-30,30.227205,79.346361,340863.88,3345118.28
FAC-RDP-002,way/1360652671,ZILA PANCHAYAT CHAMOLI,CIVIC_ADMINISTRATIVE,CIVIC_COMMUNITY_CENTRE,False,False,TAG_OR_NAME_COMMUNITY_CENTRE,,,yes,government,OpenStreetMap Contributors,2026-08-30,30.409462,79.318092,338442.58,3365358.96
FAC-RDP-003,node/12866264643,Aawas Vikas Parishad Ground,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.220348,78.772819,285642.89,3345299.78
FAC-RDP-004,node/12596432126,BSNL OFFICE,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.410744,79.320386,338665.07,3365497.81
FAC-RDP-005,node/12866262871,BSNL Office,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.222616,78.775374,285893.73,3345546.31
FAC-RDP-006,node/12866262864,Forest Department,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.216245,78.769492,285313.6,3344851.18
FAC-RDP-007,node/12866262844,Horticulture,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.226522,78.785977,286922.86,3345959.46
FAC-RDP-008,node/12866262857,Income Tax Office,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.22091,78.791369,287429.83,3345327.27
FAC-RDP-009,node/12866262859,Indian Pist,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.221184,78.790378,287335.07,3345359.4
FAC-RDP-010,node/12866262867,NIT,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.218248,78.766854,285064.04,3345078.17
FAC-RDP-011,node/12866264644,NIT GROUND,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.220189,78.766996,285081.96,3345293.07
FAC-RDP-012,node/12866262875,Nagar Nigam Srinagar Garhwal,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.223269,78.786363,286953.08,3345598.06
FAC-RDP-013,node/12866262854,PTCUL,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.22506,78.785694,286892.52,3345797.93
FAC-RDP-014,node/12866262858,PTT,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.221204,78.790849,287380.42,3345360.8
FAC-RDP-015,node/12866262852,Pump House,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.21956,78.797568,288023.79,3345166.04
FAC-RDP-016,node/12866262862,Revenue Department,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.216092,78.769879,285350.53,3344833.48
FAC-RDP-017,node/12866262870,SSB,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.222181,78.771732,285542.16,3345504.97
FAC-RDP-018,node/12866262863,Sivil कोर्ट,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.215529,78.769106,285274.93,3344772.48
FAC-RDP-019,node/12596186633,UPCL,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.393544,79.319048,338508.2,3363593.26
FAC-RDP-020,node/12866262851,Unnamed Civic Government Office,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.219559,78.797562,288023.12,3345165.92
FAC-RDP-021,node/12866262843,Water Office,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.219819,78.79315,287598.95,3345203.0
FAC-RDP-022,node/12866262860,अधिशासी अभियंता,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.221079,78.791001,287394.83,3345346.63
FAC-RDP-023,node/12866262865,कार्यालय पुलिस उपाधीक्षक,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.218231,78.767829,285157.9,3345074.47
FAC-RDP-024,node/12866262876,महिला थाना,CIVIC_ADMINISTRATIVE,CIVIC_GOVERNMENT_OFFICE,False,False,TAG_OR_NAME_GOVERNMENT_OFFICE,,,,government,OpenStreetMap Contributors,2026-08-30,30.217778,78.767259,285101.99,3345025.37
FAC-RDP-025,node/6570124413,Indian Post,CIVIC_ADMINISTRATIVE,CIVIC_POST_OFFICE,False,False,TAG_OR_NAME_POST_OFFICE,post_office,,,,OpenStreetMap Contributors,2026-08-30,30.402517,79.330971,339668.46,3364570.87
FAC-RDP-026,node/14078687342,Student Health Centre,CIVIC_ADMINISTRATIVE,OTHER_CIVIC_FACILITY,False,False,OTHER_GENERIC_POI,,yes,,,OpenStreetMap Contributors,2026-08-30,30.220993,78.781662,286495.6,3345354.56
FAC-RDP-027,node/12487976297,Unnamed Other Civic Facility,CIVIC_ADMINISTRATIVE,OTHER_CIVIC_FACILITY,False,False,OTHER_GENERIC_POI,,,,,OpenStreetMap Contributors,2026-08-30,30.61193,78.78209,287386.53,3388691.48
FAC-RDP-028,node/12487989903,Unnamed Other Civic Facility,CIVIC_ADMINISTRATIVE,OTHER_CIVIC_FACILITY,False,False,OTHER_GENERIC_POI,,,,,OpenStreetMap Contributors,2026-08-30,30.61193,78.78209,287386.53,3388691.48
FAC-RDP-029,way/1149555512,AM Lab,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.221826,78.7708,285451.66,3345467.35
FAC-RDP-030,way/1149555513,Admin Block,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.221522,78.770416,285414.06,3345434.4
FAC-RDP-031,node/12866264638,Athletics Ground CHAURAS,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,college,,,,OpenStreetMap Contributors,2026-08-30,30.222711,78.80376,288626.58,3345503.79
FAC-RDP-032,node/12866264637,CHAURAS GROUND,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,college,,,,OpenStreetMap Contributors,2026-08-30,30.222403,78.804901,288735.73,3345467.54
FAC-RDP-033,way/1149555503,Canteen,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.222244,78.770805,285453.1,3345513.65
FAC-RDP-034,node/12866264639,Commerce Ground CHAURAS,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,college,,,,OpenStreetMap Contributors,2026-08-30,30.223523,78.80259,288515.67,3345595.98
FAC-RDP-035,way/1150437631,Directorate of Technical Education,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.222082,78.771175,285488.39,3345495.1
FAC-RDP-036,way/1149555506,Fitting And Plumbing Shop,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.222511,78.770087,285384.58,3345544.68
FAC-RDP-037,way/1360684721,GOVERNMENT COLLEGE OF NURSING GOPESHWAR,EDUCATION,EDUCATION_HIGHER,False,False,HEURISTIC_NAME_COLLEGE,,,university,,OpenStreetMap Contributors,2026-08-30,30.398747,79.315164,338143.56,3364175.51
FAC-RDP-038,way/1149555489,"Government Polytechnic, Srinagar Garwal",EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,college,,,,OpenStreetMap Contributors,2026-08-30,30.221928,78.770326,285406.3,3345479.54
FAC-RDP-039,node/12866264642,HNGU BA GROUND BIRLA CAMPUS,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,college,,,,OpenStreetMap Contributors,2026-08-30,30.221941,78.78359,286683.2,3345456.08
FAC-RDP-040,node/12866262874,ITI Sringar,EDUCATION,EDUCATION_HIGHER,False,False,HEURISTIC_NAME_COLLEGE,,,,government,OpenStreetMap Contributors,2026-08-30,30.222944,78.782411,286571.85,3345569.43
FAC-RDP-041,way/1149555505,Machine Shop,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.222564,78.769874,285364.12,3345550.9
FAC-RDP-042,way/1149555504,Mechanical Production Lab,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.222384,78.769653,285342.51,3345531.36
FAC-RDP-043,way/1149555499,NIT Adminstrative Block,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.222608,78.770692,285442.98,3345554.27
FAC-RDP-044,way/1149555502,NIT Auditorium,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.221603,78.771083,285478.48,3345442.12
FAC-RDP-045,way/1150437632,NIT Hostel 1,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.221771,78.771364,285505.83,3345460.23
FAC-RDP-046,way/1149555514,NIT Hostel 2,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.221539,78.769881,285362.62,3345437.28
FAC-RDP-047,way/1149555500,NIT Hostel 4,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.222919,78.770261,285402.21,3345589.56
FAC-RDP-048,way/1149555507,NIT Hostel 7,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.22288,78.77064,285438.6,3345584.55
FAC-RDP-049,way/1150437634,NIT Lecture Hall,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.222142,78.77051,285424.47,3345502.97
FAC-RDP-050,way/1149555501,NIT Library,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.222161,78.770967,285468.55,3345504.25
FAC-RDP-051,way/1149555508,NT Hostel 6,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.222671,78.770854,285458.69,3345560.99
FAC-RDP-052,way/1150437639,Principal Quarters,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.220907,78.769899,285362.96,3345367.18
FAC-RDP-053,way/1150437637,Sheet metals,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.222185,78.769626,285339.41,3345509.43
FAC-RDP-054,way/1150437633,Sports Office,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.221882,78.771284,285498.38,3345472.65
FAC-RDP-055,way/1149555509,Unnamed Education Higher,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.222279,78.771135,285484.98,3345516.92
FAC-RDP-056,way/1149555515,Unnamed Education Higher,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.221868,78.770239,285397.74,3345473.11
FAC-RDP-057,way/1149555521,Unnamed Education Higher,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.222029,78.770291,285403.17,3345490.8
FAC-RDP-058,way/1149555522,Unnamed Education Higher,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.221644,78.770109,285384.75,3345448.49
FAC-RDP-059,way/1150437635,Unnamed Education Higher,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.222285,78.770198,285394.73,3345519.35
FAC-RDP-060,way/1150437636,Unnamed Education Higher,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.222271,78.770334,285407.77,3345517.56
FAC-RDP-061,way/1150437638,Unnamed Education Higher,EDUCATION,EDUCATION_HIGHER,False,False,TAG_COLLEGE,,,college,,OpenStreetMap Contributors,2026-08-30,30.22204,78.769911,285366.54,3345492.74
FAC-RDP-062,way/1360685875,CHRIST ACADEMY GOPESHWAR,EDUCATION,EDUCATION_SCHOOL,False,False,TAG_SCHOOL,,,school,,OpenStreetMap Contributors,2026-08-30,30.397324,79.319477,338555.65,3364011.63
FAC-RDP-063,node/12866264640,GGIC SRINAGAR GROUND,EDUCATION,EDUCATION_SCHOOL,False,False,TAG_SCHOOL,school,,,,OpenStreetMap Contributors,2026-08-30,30.223863,78.79166,287464.25,3345653.99
FAC-RDP-064,node/12866264641,GIC SRINAGAR GROUND,EDUCATION,EDUCATION_SCHOOL,False,False,TAG_SCHOOL,school,,,,OpenStreetMap Contributors,2026-08-30,30.218843,78.795561,287829.01,3345090.27
FAC-RDP-065,way/1360704534,"GOVERNMENT INTER COLLEGE,ALKAPURI",EDUCATION,EDUCATION_SCHOOL,False,False,TAG_SCHOOL,,,school,,OpenStreetMap Contributors,2026-08-30,30.398352,79.325403,339126.69,3364117.09
FAC-RDP-066,way/543616030,Government Inter College Maujkhal,EDUCATION,EDUCATION_SCHOOL,False,False,HEURISTIC_NAME_SCHOOL,college,,,,OpenStreetMap Contributors,2026-08-30,30.186083,79.022104,309574.59,3341058.25
FAC-RDP-067,way/1354963526,"Government Inter College, Tyunkha",EDUCATION,EDUCATION_SCHOOL,False,False,TAG_SCHOOL,,,school,,OpenStreetMap Contributors,2026-08-30,30.375968,78.855655,293943.23,3362397.23
FAC-RDP-068,way/230356750,"Hanskotu village, school",EDUCATION,EDUCATION_SCHOOL,False,False,TAG_SCHOOL,school,,school,,OpenStreetMap Contributors,2026-08-30,30.109081,79.400551,345895.82,3331951.67
FAC-RDP-069,way/229463806,JNV Chamoli,EDUCATION,EDUCATION_SCHOOL,False,False,TAG_SCHOOL,school,,,,OpenStreetMap Contributors,2026-08-30,30.439795,79.430805,349317.31,3368565.41
FAC-RDP-070,node/6189905565,"Jawahar Navodaya Vidyalaya, Chamoli",EDUCATION,EDUCATION_SCHOOL,False,False,TAG_SCHOOL,school,,,,OpenStreetMap Contributors,2026-08-30,30.43995,79.430522,349290.38,3368583.01
FAC-RDP-071,way/1360647876,PEACE PUBLIC SCHOOL,EDUCATION,EDUCATION_SCHOOL,False,False,TAG_SCHOOL,,,school,,OpenStreetMap Contributors,2026-08-30,30.410649,79.318027,338438.28,3365490.57
